Id,Gender,Customer_type,Age,Type_of_travel,Class,Flight_distance,Inflight_wifi_service,Departure/arrival_time_convenient,Ease_of_online_booking,Gate_location,Food_and_drink,Online_boarding,Seat_comfort,Inflight_entertainment,On-board_service,Leg_room_service,Baggage_handling,Checkin_service,Inflight_service,Cleanliness,Departure_delay_in_minutes,Arrival_delay_in_minutes,Satisfaction,Is_delayed,Age_group
19556,Female,Loyal customer,52,Business travel,Eco,160,5,4,3,4,3,4,3,5,5,5,5,2,5,5,30.0,32.5,Satisfied,1,Middle Age
90035,Female,Loyal customer,36,Business travel,Business,2863,1,1,3,1,5,4,5,4,4,4,4,3,4,5,0.0,0.0,Satisfied,0,Adult
12360,Male,Disloyal customer,20,Business travel,Eco,192,2,0,2,4,2,2,2,2,4,1,3,2,2,2,0.0,0.0,Neutral or dissatisfied,0,Young
77959,Male,Loyal customer,44,Business travel,Business,3377,0,0,0,2,3,4,4,1,1,1,1,3,1,4,0.0,6.0,Satisfied,0,Middle Age
36875,Female,Loyal customer,49,Business travel,Eco,1182,2,3,4,3,4,1,2,2,2,2,2,4,2,4,0.0,20.0,Satisfied,0,Middle Age
39177,Male,Loyal customer,16,Business travel,Eco,311,3,3,3,3,5,5,3,5,4,3,1,1,2,5,0.0,0.0,Satisfied,0,Young
79433,Female,Loyal customer,77,Business travel,Business,3987,5,5,5,5,3,5,5,5,5,5,5,4,5,3,0.0,0.0,Satisfied,0,Senior
97286,Female,Loyal customer,43,Business travel,Business,2556,2,2,2,2,4,4,5,4,4,4,4,5,4,3,30.0,32.5,Satisfied,1,Middle Age
27508,Male,Loyal customer,47,Business travel,Eco,556,5,2,2,2,5,5,5,5,2,2,5,3,3,5,1.0,0.0,Satisfied,0,Middle Age
62482,Female,Loyal customer,46,Business travel,Business,1744,2,2,2,2,3,4,4,4,4,4,4,5,4,4,28.0,14.0,Satisfied,1,Middle Age
47583,Female,Loyal customer,47,Business travel,Eco,1235,4,1,1,1,5,1,5,3,3,4,3,1,3,4,29.0,19.0,Satisfied,1,Middle Age
115550,Female,Loyal customer,33,Business travel,Business,325,2,5,5,5,1,3,4,2,2,2,2,3,2,4,18.0,7.0,Neutral or dissatisfied,1,Adult
