,Id,Gender,Customer_type,Age,Type_of_travel,Class,Flight_distance,Inflight_wifi_service,Departure/arrival_time_convenient,Ease_of_online_booking,Gate_location,Food_and_drink,Online_boarding,Seat_comfort,Inflight_entertainment,On-board_service,Leg_room_service,Baggage_handling,Checkin_service,Inflight_service,Cleanliness,Departure_delay_in_minutes,Arrival_delay_in_minutes,Satisfaction,Is_delayed,Age_group
0,19556,Female,Loyal customer,52,Business travel,Eco,160,5,4,3,4,3,4,3,5,5,5,5,2,5,5,30.0,32.5,Satisfied,1,Middle Age
1,90035,Female,Loyal customer,36,Business travel,Business,2863,1,1,3,1,5,4,5,4,4,4,4,3,4,5,0.0,0.0,Satisfied,0,Adult
2,12360,Male,Disloyal customer,20,Business travel,Eco,192,2,0,2,4,2,2,2,2,4,1,3,2,2,2,0.0,0.0,Neutral or dissatisfied,0,Young
3,77959,Male,Loyal customer,44,Business travel,Business,3377,0,0,0,2,3,4,4,1,1,1,1,3,1,4,0.0,6.0,Satisfied,0,Middle Age
4,36875,Female,Loyal customer,49,Business travel,Eco,1182,2,3,4,3,4,1,2,2,2,2,2,4,2,4,0.0,20.0,Satisfied,0,Middle Age
5,39177,Male,Loyal customer,16,Business travel,Eco,311,3,3,3,3,5,5,3,5,4,3,1,1,2,5,0.0,0.0,Satisfied,0,Young
6,79433,Female,Loyal customer,77,Business travel,Business,3987,5,5,5,5,3,5,5,5,5,5,5,4,5,3,0.0,0.0,Satisfied,0,Senior
7,97286,Female,Loyal customer,43,Business travel,Business,2556,2,2,2,2,4,4,5,4,4,4,4,5,4,3,30.0,32.5,Satisfied,1,Middle Age
8,27508,Male,Loyal customer,47,Business travel,Eco,556,5,2,2,2,5,5,5,5,2,2,5,3,3,5,1.0,0.0,Satisfied,0,Middle Age
9,62482,Female,Loyal customer,46,Business travel,Business,1744,2,2,2,2,3,4,4,4,4,4,4,5,4,4,28.0,14.0,Satisfied,1,Middle Age
10,47583,Female,Loyal customer,47,Business travel,Eco,1235,4,1,1,1,5,1,5,3,3,4,3,1,3,4,29.0,19.0,Satisfied,1,Middle Age
11,115550,Female,Loyal customer,33,Business travel,Business,325,2,5,5,5,1,3,4,2,2,2,2,3,2,4,18.0,7.0,Neutral or dissatisfied,1,Adult
12,119987,Female,Loyal customer,46,Business travel,Business,1009,5,5,5,5,4,5,5,5,5,5,5,5,5,3,0.0,0.0,Satisfied,0,Middle Age
13,42141,Female,Loyal customer,60,Business travel,Business,451,1,1,4,1,5,5,4,5,5,5,5,3,5,5,30.0,32.5,Satisfied,1,Middle Age
14,2274,Female,Loyal customer,52,Business travel,Business,925,2,2,2,2,5,5,4,4,4,4,4,3,4,5,10.0,0.0,Satisfied,0,Middle Age
15,22470,Male,Loyal customer,50,Personal travel,Eco,83,3,4,0,3,2,0,2,2,4,2,4,4,5,2,5.0,2.0,Neutral or dissatisfied,0,Middle Age
16,124915,Female,Loyal customer,31,Business travel,Eco,728,2,5,5,5,2,2,2,2,4,3,3,4,3,2,2.0,0.0,Neutral or dissatisfied,0,Adult
17,17836,Male,Loyal customer,52,Personal travel,Eco plus,1075,5,4,5,3,4,5,4,4,3,5,5,4,5,4,0.0,0.0,Satisfied,0,Middle Age
18,76872,Female,Loyal customer,43,Personal travel,Eco,1927,3,4,3,1,4,4,5,5,5,3,5,4,5,3,0.0,0.0,Neutral or dissatisfied,0,Middle Age
19,64287,Female,Loyal customer,50,Business travel,Business,3799,5,5,5,5,4,5,4,4,4,5,4,5,4,5,8.0,0.0,Satisfied,0,Middle Age
20,63995,Male,Loyal customer,60,Business travel,Business,612,4,4,4,4,2,4,5,5,5,5,5,5,5,5,21.0,32.5,Satisfied,1,Middle Age
21,75855,Male,Loyal customer,43,Personal travel,Eco,1437,3,4,3,4,2,3,2,2,4,2,4,4,5,2,0.0,0.0,Neutral or dissatisfied,0,Middle Age
22,106181,Male,Loyal customer,55,Personal travel,Eco,302,1,2,4,3,4,4,4,4,1,3,2,4,3,4,0.0,0.0,Neutral or dissatisfied,0,Middle Age
23,44304,Male,Loyal customer,25,Business travel,Business,1428,4,4,4,4,4,4,4,4,1,5,3,1,5,4,0.0,0.0,Satisfied,0,Young
24,82602,Female,Disloyal customer,30,Business travel,Eco,528,4,3,5,3,2,5,2,2,3,2,3,4,4,2,0.0,0.0,Neutral or dissatisfied,0,Adult
25,7823,Male,Loyal customer,62,Personal travel,Eco,710,3,5,3,4,2,3,2,2,3,5,5,4,4,2,0.0,0.0,Neutral or dissatisfied,0,Senior
26,127781,Male,Loyal customer,24,Business travel,Business,3680,4,1,4,4,2,2,2,2,5,5,5,5,4,2,0.0,0.0,Satisfied,0,Young
27,34501,Female,Loyal customer,22,Business travel,Eco,1521,4,1,1,1,4,4,4,4,1,4,1,1,5,4,3.0,13.0,Satisfied,0,Young
28,121658,Male,Loyal customer,44,Business travel,Business,1543,3,5,3,3,5,4,5,5,5,5,5,5,5,5,0.0,0.0,Satisfied,0,Middle Age
29,20219,Male,Loyal customer,51,Business travel,Eco,235,4,3,3,3,4,4,4,4,3,2,3,3,4,4,0.0,0.0,Neutral or dissatisfied,0,Middle Age
30,67551,Male,Loyal customer,43,Personal travel,Business,1235,1,5,1,1,1,1,4,3,3,1,5,4,3,5,0.0,0.0,Neutral or dissatisfied,0,Middle Age
31,48994,Female,Loyal customer,56,Business travel,Eco,308,2,3,3,3,5,2,5,2,2,2,2,2,2,2,0.0,0.0,Satisfied,0,Middle Age
32,70811,Male,Disloyal customer,41,Business travel,Eco,624,2,3,2,4,5,2,5,5,4,3,3,1,4,5,0.0,0.0,Neutral or dissatisfied,0,Middle Age
33,75241,Male,Loyal customer,22,Personal travel,Eco,1846,4,5,4,4,5,4,5,5,5,4,4,4,4,5,30.0,32.5,Neutral or dissatisfied,1,Young
34,12312,Female,Loyal customer,53,Business travel,Eco,192,5,2,2,2,3,4,2,5,5,5,5,2,5,4,0.0,1.0,Satisfied,0,Middle Age
35,48372,Male,Loyal customer,12,Personal travel,Eco,674,3,4,3,1,1,3,1,1,3,3,5,4,4,1,30.0,32.5,Neutral or dissatisfied,1,Young
36,51477,Female,Loyal customer,39,Business travel,Business,370,3,3,3,3,2,4,5,4,4,4,4,4,4,5,10.0,12.0,Satisfied,0,Adult
37,84204,Female,Loyal customer,55,Business travel,Business,3169,1,1,1,1,3,5,4,5,5,5,5,3,5,5,30.0,32.5,Satisfied,1,Middle Age
38,70990,Female,Disloyal customer,32,Business travel,Business,802,4,4,4,2,2,4,4,2,4,2,4,3,5,2,0.0,10.0,Neutral or dissatisfied,0,Adult
39,101991,Female,Loyal customer,40,Personal travel,Eco,628,1,4,1,3,5,1,5,5,3,2,5,5,4,5,4.0,0.0,Neutral or dissatisfied,0,Adult
40,87447,Female,Disloyal customer,42,Business travel,Business,373,3,3,3,5,4,3,4,4,3,2,5,5,5,4,0.0,0.0,Neutral or dissatisfied,0,Middle Age
41,16112,Male,Disloyal customer,24,Business travel,Eco,725,4,4,4,2,2,4,2,2,4,2,3,1,5,2,0.0,4.0,Satisfied,0,Young
42,16172,Male,Loyal customer,22,Business travel,Business,277,3,3,3,3,3,3,3,1,5,4,3,3,2,3,30.0,32.5,Neutral or dissatisfied,1,Young
43,106558,Female,Loyal customer,28,Business travel,Business,1024,1,1,1,1,4,4,4,4,5,3,5,5,4,4,0.0,3.0,Satisfied,0,Adult
44,11536,Female,Loyal customer,36,Business travel,Eco plus,267,2,3,3,3,2,2,2,2,1,1,3,4,4,2,30.0,32.5,Neutral or dissatisfied,1,Adult
45,47773,Female,Loyal customer,62,Business travel,Eco,550,5,1,1,1,4,2,1,5,5,5,5,5,5,2,30.0,32.5,Satisfied,1,Senior
46,70521,Female,Loyal customer,60,Business travel,Business,1889,2,2,3,2,3,5,4,5,5,5,5,5,5,3,0.0,0.0,Satisfied,0,Middle Age
47,96283,Female,Loyal customer,59,Personal travel,Eco,460,2,5,2,5,3,3,4,5,5,2,4,1,5,2,4.0,2.0,Neutral or dissatisfied,0,Middle Age
48,117993,Female,Loyal customer,49,Business travel,Business,3295,4,4,3,4,2,5,4,5,5,5,5,5,5,3,0.0,4.0,Satisfied,0,Middle Age
49,74703,Female,Loyal customer,44,Personal travel,Eco,1205,2,4,2,3,4,4,3,4,4,2,4,2,4,2,0.0,0.0,Neutral or dissatisfied,0,Middle Age
50,110840,Female,Loyal customer,58,Personal travel,Eco plus,990,3,5,2,3,3,4,5,1,1,2,1,5,1,3,0.0,0.0,Neutral or dissatisfied,0,Middle Age
51,88249,Male,Disloyal customer,24,Business travel,Business,444,4,0,4,2,2,4,2,2,5,3,5,3,5,2,20.0,32.0,Satisfied,1,Young
52,125877,Female,Loyal customer,53,Business travel,Eco,520,4,2,2,2,3,3,4,4,4,4,4,3,4,3,17.0,0.0,Satisfied,1,Middle Age
